method,day_index,remaining_fixings_after_today,state_dimension,train_states,validation_states,train_paths_per_state,benchmark_paths_per_state,importance_sampling_policy,avg_train_stderr,avg_benchmark_stderr,max_rel,p99_rel,p95_rel,mae,max_abs,median_error_over_benchmark_se
moment_lognormal,0,11,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.0252563840456258,0.007536148960354689,0.2845021137121513,0.18414145657586292,0.08481888430017477,0.10042150347727014,0.2796155267267153,9.924653419931023
relative_residual_sparse_chebyshev_pca,0,11,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.0252563840456258,0.007536148960354689,0.1319952118080446,0.05594850005370803,0.03948442701602053,0.07530318212881075,1.0905321391162417,10.498495754477265
log_factor_sparse_chebyshev_pca,0,11,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.0252563840456258,0.007536148960354689,0.08995032015008855,0.03709475326929912,0.028013748602973686,0.05163786556180024,0.6606558053692453,7.392325172292486
pchip_calibrated_log_factor_pca,0,11,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.0252563840456258,0.007536148960354689,0.05873105294524649,0.047543943082567985,0.01930322972790096,0.030819361496485807,0.39317222242608096,4.216307842956932
residual_sparse_chebyshev_pca,0,11,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.0252563840456258,0.007536148960354689,0.19084934391130967,0.11435043711214664,0.04557247227317873,0.012409182447261179,0.03748426270789906,3.3884320605504894
blend_correction_sparse_chebyshev_pca,0,11,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.0252563840456258,0.007536148960354689,0.11451575053092596,0.0677530710529881,0.031021967108422997,0.025813628263572096,0.2801980764489471,6.14820449375691
moment_lognormal,3,8,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.004704145279882171,0.0017007186736387322,0.1385268872911726,0.11647472001675556,0.02964534706417357,0.02659371526200594,0.06721328490144884,14.541246552925411
relative_residual_sparse_chebyshev_pca,3,8,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.004704145279882171,0.0017007186736387322,0.07107022087017308,0.06089478668546578,0.02405771695982122,0.0198971193911511,0.18823767334795605,8.743560378952152
log_factor_sparse_chebyshev_pca,3,8,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.004704145279882171,0.0017007186736387322,0.07260013011171906,0.04869808273201503,0.017894385259285765,0.013296445836334676,0.13938407194038405,5.80895773200431
pchip_calibrated_log_factor_pca,3,8,11,513,121,65536,524288,two-component Gaussian LR mixture when future_fixings >= 10; plain Sobol otherwise,0.004704145279882171,0.0017007186736387322,0.05106246940265784,0.030295442207227446,0.007534954792047007,0.012872245997890627,0.09121853310166728,4.257595027754176
