method,description,day_index,time,remaining_periods,train_grid,train_states,train_scenarios_per_fit_target,train_scenarios_used,train_paths_per_state,validation_states,benchmark_paths_per_state,max_rel,p99_rel,p95_rel,mae,max_abs,median_noise_ratio,avg_train_stderr,avg_benchmark_stderr
direct_accrued_uniform_d7,"Direct value Chebyshev degree 7 on raw accrued return, uniform grid",0,0.0,12,uniform,1,10000000,10000000,10000000,1,500000,0.0004034759179504732,0.0004034759179504732,0.0004034759179504732,0.0031860510390657737,0.0031860510390657737,1.241164779883442,0.0005727113617308204,0.0025669847313625643
logit_accrued_boundary_d9,"Bounded logit Chebyshev degree 9 on raw accrued return, boundary grid",0,0.0,12,boundary,1,10000000,10000000,10000000,1,500000,0.0003253069176003645,0.0003253069176003645,0.0003253069176003645,0.0025687888588263874,0.0025687888588263874,1.0007028197097478,0.0005730215081838879,0.0025669847313625643
logit_z_uniform_d9,"Bounded logit Chebyshev degree 9 on expected-total z feature, uniform grid",0,0.0,12,uniform,1,10000000,10000000,10000000,1,500000,0.0004034759179503607,0.0004034759179503607,0.0004034759179503607,0.0031860510390648855,0.0031860510390648855,1.241164779883096,0.0005727113617308204,0.0025669847313625643
logit_z_boundary_d11,"Bounded logit Chebyshev degree 11 on expected-total z feature, boundary grid",0,0.0,12,boundary,1,10000000,10000000,10000000,1,500000,0.0003253069176003645,0.0003253069176003645,0.0003253069176003645,0.0025687888588263874,0.0025687888588263874,1.0007028197097478,0.0005730215081838879,0.0025669847313625643
logit_z_boundary_d19,"Bounded logit Chebyshev degree 19 on expected-total z feature, boundary grid",0,0.0,12,boundary,1,10000000,10000000,10000000,1,500000,0.0003253069176003645,0.0003253069176003645,0.0003253069176003645,0.0025687888588263874,0.0025687888588263874,1.0007028197097478,0.0005730215081838879,0.0025669847313625643
logit_z_halton_d11,"Bounded logit Chebyshev degree 11 on expected-total z feature, Halton/boundary grid",0,0.0,12,halton,1,10000000,10000000,10000000,1,500000,0.0003859477799424665,0.0003859477799424665,0.0003859477799424665,0.0030476399472787463,0.0030476399472787463,1.1872450622879431,0.000572676821124239,0.0025669847313625643
logit_cushion_2d_boundary_d5,"Bounded logit 2D Chebyshev degree 5 on floor/cap cushion features, boundary grid",0,0.0,12,boundary,1,10000000,10000000,10000000,1,500000,0.0003253069176003645,0.0003253069176003645,0.0003253069176003645,0.0025687888588263874,0.0025687888588263874,1.0007028197097478,0.0005730215081838879,0.0025669847313625643
direct_accrued_uniform_d7,"Direct value Chebyshev degree 7 on raw accrued return, uniform grid",3,0.25,9,uniform,161,10000000,10000032,62112,83,500000,0.00393461550135468,0.002747997280519614,0.0014322827303331256,0.002422001745282967,0.011991789668305053,0.7381722293985622,0.006977483016811038,0.0024648882794424463
logit_accrued_boundary_d9,"Bounded logit Chebyshev degree 9 on raw accrued return, boundary grid",3,0.25,9,boundary,166,10000000,10000006,60241,83,500000,0.005121688892111603,0.004318330681093337,0.001980667521693005,0.002572752555107323,0.01560971228816399,0.608149649110223,0.007087565255608126,0.0024648882794424463
logit_z_uniform_d9,"Bounded logit Chebyshev degree 9 on expected-total z feature, uniform grid",3,0.25,9,uniform,161,10000000,10000032,62112,83,500000,0.004091292555515955,0.0033809219551622265,0.0016567371743995227,0.003001569132715747,0.011712122349905485,1.0249816832947631,0.006977483016811038,0.0024648882794424463
