option_type,strike,vol,maturity,time,tau,method,detail,max_rel,p99_rel,mae,max_abs
call,80.000000,0.100000,0.500000,0.100000,0.400000,log B-spline,"d1, knots=12",0.0050351691,0.0049801720,0.0009627905,0.0029891960
call,80.000000,0.100000,0.500000,0.100000,0.400000,log Chebyshev,"d1, degree=7",0.0020072611,0.0015669341,0.0033222507,0.0413414384
call,80.000000,0.100000,0.500000,0.100000,0.400000,log polynomial,"spot, degree=9",0.0070071607,0.0050760997,0.0138975494,0.1443190953
call,80.000000,0.100000,0.500000,0.200000,0.300000,log B-spline,"d1, knots=12",0.0032251577,0.0031880762,0.0011243466,0.0067637102
call,80.000000,0.100000,0.500000,0.200000,0.300000,log Chebyshev,"d1, degree=7",0.0023592122,0.0023567691,0.0025642213,0.0240143244
call,80.000000,0.100000,0.500000,0.200000,0.300000,log polynomial,"spot, degree=9",0.0158595667,0.0110561946,0.0240838475,0.2800885723
call,80.000000,0.100000,0.500000,0.300000,0.200000,log B-spline,"d1, knots=12",0.0043503287,0.0041065501,0.0006592267,0.0045799699
call,80.000000,0.100000,0.500000,0.300000,0.200000,log Chebyshev,"d1, degree=7",0.0026387648,0.0019065598,0.0035540266,0.0375723137
call,80.000000,0.100000,0.500000,0.300000,0.200000,log polynomial,"spot, degree=9",0.0231463404,0.0160327940,0.0277013248,0.3295714573
call,80.000000,0.100000,0.500000,0.400000,0.100000,log B-spline,"d1, knots=12",0.0049322253,0.0048426050,0.0003959200,0.0016753701
call,80.000000,0.100000,0.500000,0.400000,0.100000,log Chebyshev,"d1, degree=7",0.0011386315,0.0011029383,0.0010559570,0.0111839935
call,80.000000,0.100000,0.500000,0.400000,0.100000,log polynomial,"spot, degree=9",0.0216557671,0.0144691495,0.0203046251,0.2141658120
call,80.000000,0.100000,1.000000,0.200000,0.800000,log B-spline,"d1, knots=12",0.0021538243,0.0021233624,0.0011236280,0.0063902837
call,80.000000,0.100000,1.000000,0.200000,0.800000,log Chebyshev,"d1, degree=7",0.0015016862,0.0014659690,0.0017843689,0.0241145259
call,80.000000,0.100000,1.000000,0.200000,0.800000,log polynomial,"spot, degree=9",0.0015647103,0.0009986331,0.0043033922,0.0467940081
call,80.000000,0.100000,1.000000,0.400000,0.600000,log B-spline,"d1, knots=12",0.0046286186,0.0045766458,0.0011916992,0.0041284808
call,80.000000,0.100000,1.000000,0.400000,0.600000,log Chebyshev,"d1, degree=7",0.0016132352,0.0015122810,0.0017961936,0.0195996158
call,80.000000,0.100000,1.000000,0.400000,0.600000,log polynomial,"spot, degree=9",0.0011809560,0.0011768023,0.0041000162,0.0189073277
call,80.000000,0.100000,1.000000,0.600000,0.400000,log B-spline,"d1, knots=12",0.0050209412,0.0047305543,0.0006957675,0.0038890332
call,80.000000,0.100000,1.000000,0.600000,0.400000,log Chebyshev,"d1, degree=7",0.0017118240,0.0017089103,0.0025835427,0.0325074445
call,80.000000,0.100000,1.000000,0.600000,0.400000,log polynomial,"spot, degree=9",0.0074944025,0.0053540505,0.0144880091,0.1543543019
call,80.000000,0.100000,1.000000,0.800000,0.200000,log B-spline,"d1, knots=12",0.0042440388,0.0042140705,0.0005752195,0.0024222141
call,80.000000,0.100000,1.000000,0.800000,0.200000,log Chebyshev,"d1, degree=7",0.0031359365,0.0030688817,0.0024484216,0.0239543261
call,80.000000,0.100000,1.000000,0.800000,0.200000,log polynomial,"spot, degree=9",0.0223623899,0.0154608555,0.0265136596,0.3184091010
call,80.000000,0.100000,2.000000,0.400000,1.600000,log B-spline,"d1, knots=12",0.0033909732,0.0033368494,0.0017388161,0.0093553211
call,80.000000,0.100000,2.000000,0.400000,1.600000,log Chebyshev,"d1, degree=7",0.0020683106,0.0013332725,0.0067380864,0.0898010025
call,80.000000,0.100000,2.000000,0.400000,1.600000,log polynomial,"spot, degree=9",0.0012115931,0.0012085972,0.0041994923,0.0468973315
call,80.000000,0.100000,2.000000,0.800000,1.200000,log B-spline,"d1, knots=12",0.0038085644,0.0035114837,0.0022476158,0.0105299214
