method,time,mae,rmse,rel_mae,max_abs_error,detail
current_default_three_region_path_poly,0.200000,0.0077544100,0.0087086168,0.0011489096,0.0533228008,tail=0.001, trained=0.01
tuned_threshold_path_poly,0.200000,0.0077544100,0.0087086168,0.0011489096,0.0533228008,tail=0.0001, trained=0.003
binned_poly9_default_thresholds,0.200000,0.0079811294,0.0098876642,0.0011639053,0.1358879028,tail=0.001, trained=0.01
binned_poly9_tuned_thresholds,0.200000,0.0079811294,0.0098876642,0.0011639053,0.1358879028,tail=0.0001, trained=0.003
weighted_relative_poly9_default_thresholds,0.200000,0.0079972579,0.0095161921,0.0011610574,0.1166057325,tail=0.001, trained=0.01
weighted_relative_poly9_tuned_thresholds,0.200000,0.0079972579,0.0095161921,0.0011610574,0.1166057325,tail=0.0001, trained=0.003
log_value_poly9_eps_0.01_default_thresholds,0.200000,0.0080050133,0.0098206118,0.0011502748,0.1389904843,tail=0.001, trained=0.01
log_value_poly9_eps_0.01_tuned_thresholds,0.200000,0.0080050133,0.0098206118,0.0011502748,0.1389904843,tail=0.0001, trained=0.003
piecewise_delta_poly_default_thresholds,0.200000,0.0090720364,0.0295833165,0.0018587959,0.9997521322,tail=0.001, trained=0.01
piecewise_delta_poly_tuned_thresholds,0.200000,0.0090720364,0.0295833165,0.0018587959,0.9997521322,tail=0.0001, trained=0.003
binned_bspline14_default_thresholds,0.200000,0.0094424467,0.0128339048,0.0013100453,0.1136395547,tail=0.001, trained=0.01
binned_bspline14_tuned_thresholds,0.200000,0.0094424467,0.0128339048,0.0013100453,0.1136395547,tail=0.0001, trained=0.003
time_value_residual_bspline14_default_thresholds,0.200000,0.0125696620,0.0213409871,0.0017422005,0.1146953740,tail=0.001, trained=0.01
time_value_residual_bspline14_tuned_thresholds,0.200000,0.0125696620,0.0213409871,0.0017422005,0.1146953740,tail=0.0001, trained=0.003
time_value_residual_poly9_default_thresholds,0.200000,0.2179949926,0.2767332955,0.0388955176,1.0151217501,tail=0.001, trained=0.01
time_value_residual_poly9_tuned_thresholds,0.200000,0.2179949926,0.2767332955,0.0388955176,1.0151217501,tail=0.0001, trained=0.003
current_default_three_region_path_poly,0.400000,0.0042374824,0.0058983575,0.0016787317,0.0166101618,tail=0.001, trained=0.01
tuned_threshold_path_poly,0.400000,0.0042374824,0.0058983575,0.0016787317,0.0166101618,tail=0.0001, trained=0.003
weighted_relative_poly9_default_thresholds,0.400000,0.0051830566,0.0077662297,0.0014786961,0.0894119768,tail=0.001, trained=0.01
weighted_relative_poly9_tuned_thresholds,0.400000,0.0051830566,0.0077662297,0.0014786961,0.0894119768,tail=0.0001, trained=0.003
binned_poly9_default_thresholds,0.400000,0.0052571929,0.0077569305,0.0016913324,0.0894119768,tail=0.001, trained=0.01
binned_poly9_tuned_thresholds,0.400000,0.0052571929,0.0077569305,0.0016913324,0.0894119768,tail=0.0001, trained=0.003
piecewise_delta_poly_default_thresholds,0.400000,0.0061222821,0.0090037771,0.0015364758,0.0894119768,tail=0.001, trained=0.01
piecewise_delta_poly_tuned_thresholds,0.400000,0.0061222821,0.0090037771,0.0015364758,0.0894119768,tail=0.0001, trained=0.003
log_value_poly9_eps_0.01_default_thresholds,0.400000,0.0064222332,0.0091676842,0.0015156450,0.0840754582,tail=0.001, trained=0.01
log_value_poly9_eps_0.01_tuned_thresholds,0.400000,0.0064222332,0.0091676842,0.0015156450,0.0840754582,tail=0.0001, trained=0.003
binned_bspline14_default_thresholds,0.400000,0.0070841110,0.0098533197,0.0018530046,0.0828757383,tail=0.001, trained=0.01
binned_bspline14_tuned_thresholds,0.400000,0.0070841110,0.0098533197,0.0018530046,0.0828757383,tail=0.0001, trained=0.003
time_value_residual_bspline14_tuned_thresholds,0.400000,0.0249911179,0.0404639111,0.0052980873,0.1667700703,tail=0.0001, trained=0.02
time_value_residual_bspline14_default_thresholds,0.400000,0.0251312852,0.0405447314,0.0053017619,0.1667700703,tail=0.001, trained=0.01
time_value_residual_poly9_tuned_thresholds,0.400000,0.1795567845,0.2368387732,0.0535799361,0.7509657994,tail=0.003, trained=0.02
time_value_residual_poly9_default_thresholds,0.400000,0.1799117132,0.2369709732,0.0535890531,0.7509657994,tail=0.001, trained=0.01
piecewise_delta_poly_tuned_thresholds,0.600000,0.0048421508,0.0076977950,0.0048665953,0.0294166421,tail=0.001, trained=0.005
piecewise_delta_poly_default_thresholds,0.600000,0.0050275116,0.0078669647,0.0086722602,0.0294166421,tail=0.001, trained=0.01
weighted_relative_poly9_tuned_thresholds,0.600000,0.0055342051,0.0068468270,0.0099211546,0.0137521319,tail=0.0001, trained=0.01
weighted_relative_poly9_default_thresholds,0.600000,0.0056416041,0.0069478766,0.0104235433,0.0137521319,tail=0.001, trained=0.01
binned_poly9_tuned_thresholds,0.600000,0.0062363053,0.0073681872,0.0135788615,0.0144464515,tail=0.001, trained=0.005
binned_poly9_default_thresholds,0.600000,0.0063812290,0.0074987410,0.0146820638,0.0153474782,tail=0.001, trained=0.01
binned_bspline14_tuned_thresholds,0.600000,0.0063853909,0.0084494022,0.0085490960,0.0227382835,tail=0.0001, trained=0.01
binned_bspline14_default_thresholds,0.600000,0.0064464581,0.0084926579,0.0091951528,0.0227382835,tail=0.001, trained=0.01
log_value_poly9_eps_0.01_tuned_thresholds,0.600000,0.0084159811,0.0103579995,0.0161421556,0.0231365434,tail=0.0001, trained=0.02
log_value_poly9_eps_0.01_default_thresholds,0.600000,0.0090146353,0.0122181960,0.0097774505,0.0524937712,tail=0.001, trained=0.01
