method,detail,time,max_rel,p99_rel,mae,max_abs
direct polynomial,"d1, degree=5",0.200000,25.5597609288,25.4116595165,0.1954680728,0.6983267887
log polynomial,"d1, degree=5",0.200000,0.0040253624,0.0031487554,0.0341209232,0.3535562990
direct polynomial,"d1, degree=7",0.200000,9.6368429211,3.9570588775,0.0444415691,0.1555037943
log polynomial,"d1, degree=7",0.200000,0.0022655752,0.0014556590,0.0128445532,0.1989903821
direct polynomial,"d1, degree=9",0.200000,1.0774275246,1.0355436355,0.0108633379,0.0369263475
log polynomial,"d1, degree=9",0.200000,0.0042277110,0.0041902510,0.0132406014,0.1501874478
direct polynomial,"d1, degree=11",0.200000,0.3975167380,0.2588674340,0.0060543075,0.0248802587
log polynomial,"d1, degree=11",0.200000,0.0047259027,0.0043985385,0.0124097658,0.1387221326
direct Chebyshev,"d1, degree=5",0.200000,25.5597614633,25.4116600231,0.1954680731,0.6983268207
log Chebyshev,"d1, degree=5",0.200000,0.0040253599,0.0031487552,0.0341209249,0.3535560839
direct Chebyshev,"d1, degree=7",0.200000,9.6368451828,3.9570605341,0.0444415701,0.1555037521
log Chebyshev,"d1, degree=7",0.200000,0.0022655790,0.0014556596,0.0128445581,0.1989907116
direct Chebyshev,"d1, degree=9",0.200000,1.0774286667,1.0355446658,0.0108633382,0.0369263908
log Chebyshev,"d1, degree=9",0.200000,0.0042277116,0.0041902517,0.0132405939,0.1501876926
direct Chebyshev,"d1, degree=11",0.200000,0.3975193377,0.2588682988,0.0060543087,0.0248802547
log Chebyshev,"d1, degree=11",0.200000,0.0047259032,0.0043985390,0.0124097716,0.1387225049
direct Chebyshev,"d1, degree=13",0.200000,0.0559582278,0.0542775983,0.0053561980,0.0246176506
log Chebyshev,"d1, degree=13",0.200000,0.0040887163,0.0038290922,0.0068258931,0.0392351113
direct Chebyshev,"d1, degree=15",0.200000,0.1872101256,0.1726576243,0.0059875513,0.0236871160
log Chebyshev,"d1, degree=15",0.200000,0.0043787018,0.0041196371,0.0065015287,0.0431921475
direct Chebyshev,"d1, degree=18",0.200000,0.2052845226,0.1768771092,0.0063469435,0.0256194587
log Chebyshev,"d1, degree=18",0.200000,0.0054633154,0.0050438635,0.0066581298,0.0413544054
direct Chebyshev,"d1, degree=22",0.200000,0.0785290978,0.0422047521,0.0059656396,0.0281975492
log Chebyshev,"d1, degree=22",0.200000,0.0057353615,0.0052668760,0.0066658192,0.0571184050
log cosine Fourier,"d1, order=3",0.200000,69.0416632495,65.1794543170,19.3882653870,87.6345075492
